Fecha	Temperatura
01/03/2013	11.7
02/03/2013	12.3
03/03/2013	12.0
04/03/2013	12.5
05/03/2013	12.7
06/03/2013	12.8
07/03/2013	13.0
08/03/2013	12.7
09/03/2013	13.0
10/03/2013	12.8
11/03/2013	12.8
12/03/2013	12.7
13/03/2013	12.2
14/03/2013	11.8
15/03/2013	11.5
16/03/2013	12.2
17/03/2013	12.2
18/03/2013	11.7
19/03/2013	11.9
20/03/2013	12.2
21/03/2013	12.3
22/03/2013	12.6
23/03/2013	12.5
24/03/2013	13.1
25/03/2013	13.1
26/03/2013	12.6
27/03/2013	12.6
28/03/2013	12.5
29/03/2013	12.4
30/03/2013	12.8
31/03/2013	12.9
01/04/2013	12.9
02/04/2013	13.0
03/04/2013	13.1
04/04/2013	12.9
05/04/2013	12.3
06/04/2013	11.7
07/04/2013	11.5
08/04/2013	12.2
09/04/2013	12.2
10/04/2013	12.7
11/04/2013	12.8
12/04/2013	12.9
13/04/2013	13.0
14/04/2013	13.3
15/04/2013	14.1
16/04/2013	13.8
17/04/2013	13.7
18/04/2013	14.5
19/04/2013	14.2
20/04/2013	14.2
21/04/2013	13.8
22/04/2013	13.7
23/04/2013	14.0
24/04/2013	13.7
25/04/2013	13.9
26/04/2013	14.3
27/04/2013	14.0
28/04/2013	13.5
29/04/2013	13.5
30/04/2013	13.7
01/05/2013	13.3
02/05/2013	13.4
03/05/2013	12.9
04/05/2013	13.2
05/05/2013	13.2
06/05/2013	13.6
07/05/2013	13.9
08/05/2013	14.0
09/05/2013	14.1
10/05/2013	13.9
11/05/2013	13.7
12/05/2013	14.6
13/05/2013	14.6
14/05/2013	15.0
15/05/2013	14.3
16/05/2013	14.5
17/05/2013	14.5
18/05/2013	14.7
19/05/2013	14.2
20/05/2013	14.6
21/05/2013	14.9
22/05/2013	14.7
23/05/2013	14.7
24/05/2013	14.6
25/05/2013	14.6
26/05/2013	14.5
27/05/2013	14.3
28/05/2013	14.8
29/05/2013	14.4
30/05/2013	14.3
31/05/2013	14.1
01/06/2013	14.1
02/06/2013	14.7
03/06/2013	14.8
04/06/2013	14.8
05/06/2013	14.5
06/06/2013	14.9
07/06/2013	15.3
08/06/2013	15.4
09/06/2013	15.2
10/06/2013	15.1
11/06/2013	15.2
12/06/2013	15.6
13/06/2013	17.0
14/06/2013	16.1
15/06/2013	17.0
16/06/2013	16.9
17/06/2013	16.2
18/06/2013	16.1
19/06/2013	16.1
20/06/2013	15.7
21/06/2013	15.9
22/06/2013	16.2
23/06/2013	17.1
24/06/2013	16.4
25/06/2013	16.2
26/06/2013	16.4
27/06/2013	15.8
28/06/2013	17.1
29/06/2013	17.7
30/06/2013	17.7
01/07/2013	15.3
02/07/2013	16.0
03/07/2013	17.0
04/07/2013	17.6
05/07/2013	16.4
06/07/2013	15.1
07/07/2013	15.1
08/07/2013	16.2
09/07/2013	16.6
10/07/2013	18.3
11/07/2013	18.6
12/07/2013	19.0
13/07/2013	18.5
14/07/2013	20.7
15/07/2013	20.9
16/07/2013	20.8
17/07/2013	21.4
18/07/2013	22.3
19/07/2013	21.2
20/07/2013	18.1
21/07/2013	20.0
22/07/2013	22.3
23/07/2013	22.0
24/07/2013	21.4
25/07/2013	21.6
26/07/2013	21.1
27/07/2013	21.5
28/07/2013	21.1
29/07/2013	21.3
30/07/2013	20.8
31/07/2013	20.8
01/08/2013	19.8
02/08/2013	21.4
03/08/2013	21.8
04/08/2013	21.0
05/08/2013	20.7
06/08/2013	20.7
07/08/2013	20.1
08/08/2013	20.2
09/08/2013	20.4
10/08/2013	21.3
11/08/2013	21.1
12/08/2013	20.2
13/08/2013	19.9
14/08/2013	19.7
15/08/2013	18.7
16/08/2013	19.3
17/08/2013	19.8
18/08/2013	20.3
19/08/2013	20.9
20/08/2013	21.3
21/08/2013	19.2
22/08/2013	17.1
23/08/2013	18.6
24/08/2013	20.0
25/08/2013	19.8
26/08/2013	19.9
27/08/2013	20.0
28/08/2013	20.6
29/08/2013	20.8
30/08/2013	20.9
31/08/2013	21.1
01/09/2013	21.3
02/09/2013	21.2
03/09/2013	18.8
04/09/2013	17.7
05/09/2013	18.6
06/09/2013	19.6
07/09/2013	19.7
08/09/2013	19.1
09/09/2013	18.8
10/09/2013	19.0
11/09/2013	19.3
12/09/2013	19.2
13/09/2013	19.4
14/09/2013	18.9
15/09/2013	18.8
16/09/2013	19.2
17/09/2013	18.9
18/09/2013	19.0
19/09/2013	19.3
20/09/2013	19.6
21/09/2013	19.9
22/09/2013	19.9
23/09/2013	18.9
